"groupe_typologie","taille_menage_moy","age_chef_moy","prop_chef_femme","prop_urbain","fies_score_moy","fies_moderee_prop","fies_severe_prop","hdds_score_moy","conso_par_tete_moy","depense_alim_moy","surface_moy_ha","valeur_intrants_moy","n_menages"
"Producteur-Consommateur",5.4819370156996,45.0541706087071,0.185386372439314,0.0389714672295707,3.56112231901314,0.642354123157508,0.276859798933641,18.5569728776256,7236.43055948125,11428.4454608487,3.87290403004407,7515.85576716675,155349
"Consommateur uniquement",4.51563456503124,48.6218148497271,0.309952959344734,0.476463477964409,2.79653349392306,0.509576910151707,0.19910249082882,22.7044888978713,11614.5854138487,20442.4996310554,2.38616605427009,1561.78389657488,124044
"Ni producteur ni consommateur",4.41999805948759,51.4760434451373,0.265120224336971,0.802950170521136,2.15756197817217,0.391643594350998,0.15865894978608,24.1279329953125,15306.4201660129,18047.0473986435,3.66648655952353,846.946109002473,74051
"Producteur uniquement",5.64968250172802,46.5183796566553,0.12300581716238,0.140620615367927,3.58382278749869,0.627105343576075,0.269387751810512,17.0447219898534,7467.84303495406,9919.28333303464,2.99748282965887,11982.5072846661,10853
