"groupe_typologie","conso_par_tete_moy","depense_alim_moy","surface_moy_ha","valeur_intrants_moy"
"Producteur-Consommateur",7236.43055948125,11428.4454608487,3.87290403004407,7515.85576716675
"Consommateur uniquement",11614.5854138487,20442.4996310554,2.38616605427009,1561.78389657488
"Ni producteur ni consommateur",15306.4201660129,18047.0473986435,3.66648655952353,846.946109002473
"Producteur uniquement",7467.84303495406,9919.28333303464,2.99748282965887,11982.5072846661
