"grappe","prix_prod_moy","region","n_observations","lat","lon","prix_marche_moy","marge","marge_pct"
53,270,"Diffa",3,13.2984527,12.5136234,309.147690777749,39.1476907777487,14.5
57,282.5,"Diffa",3,13.3264850825071,12.4240634031594,309.147690777749,26.6476907777487,9.4
58,245,"Diffa",3,13.4447981,12.3754025,309.147690777749,64.1476907777487,26.2
59,237.5,"Diffa",2,13.360346,12.6165661,309.147690777749,71.6476907777487,30.2
61,300,"Diffa",1,13.3098086,12.6146714,309.147690777749,9.14769077774866,3
69,230,"Diffa",2,13.5598273,11.7404473,309.147690777749,79.1476907777487,34.4
70,250,"Diffa",1,13.4048799103505,11.261567989357,309.147690777749,59.1476907777487,23.7
75,240,"Diffa",2,13.7215626,11.1246054,309.147690777749,69.1476907777487,28.8
85,218.75,"Diffa",1,13.4231727,11.3855346,309.147690777749,90.3976907777487,41.3
86,150,"Diffa",1,13.285814,12.0078309,309.147690777749,159.147690777749,106.1
87,240,"Diffa",1,13.1804017,12.2386202,309.147690777749,69.1476907777487,28.8
88,250,"Diffa",1,13.2119555,12.0234127,309.147690777749,59.1476907777487,23.7
108,240,"Dosso",3,12.9308489,2.9647011,308.630837636221,68.6308376362212,28.6
111,288.757064598244,"Dosso",5,13.1807663,2.8271216,308.630837636221,19.8737730379768,6.9
114,160,"Dosso",1,13.8065588995124,4.19222721726883,308.630837636221,148.630837636221,92.9
116,120,"Dosso",2,13.6418317043977,4.0140554894098,308.630837636221,188.630837636221,157.2
118,182.916666666667,"Dosso",3,13.6444804918232,4.02609138643078,308.630837636221,125.714170969555,68.7
119,285.714285714286,"Dosso",1,14.0466351,4.4387817,308.630837636221,22.9165519219355,8
124,271.953988913259,"Dosso",4,14.12322237624,3.80759967820225,308.630837636221,36.6768487229619,13.5
127,214.285714285714,"Dosso",7,12.7821125,3.3030718,308.630837636221,94.3451233505069,44
129,166.666666666667,"Dosso",3,12.46544288937,3.17921312525868,308.630837636221,141.964170969555,85.2
133,125,"Dosso",7,12.4013224,3.0461028,308.630837636221,183.630837636221,146.9
136,240,"Dosso",2,13.27210417483,3.69542294181883,308.630837636221,68.6308376362212,28.6
137,202.417582417582,"Dosso",5,12.531614,2.8491924,308.630837636221,106.213255218639,52.5
138,266.666666666667,"Dosso",2,12.3026291560382,2.99011596478522,308.630837636221,41.9641709695545,15.7
139,187.5,"Dosso",1,12.5321860983968,2.9456589370966,308.630837636221,121.130837636221,64.6
146,114.285714285714,"Dosso",3,12.2210177499801,3.46742293797433,308.630837636221,194.345123350507,170.1
152,208.571428571429,"Dosso",5,13.0832584714517,3.7936903629452,308.630837636221,100.059409064793,48
154,260,"Dosso",2,12.8801274485886,3.85539609007537,308.630837636221,48.6308376362212,18.7
158,195,"Dosso",2,13.1451131869107,4.01747066527605,308.630837636221,113.630837636221,58.3
162,260,"Maradi",1,13.5078229894862,7.52125379629433,281.226624290054,21.2266242900541,8.2
165,190.909090909091,"Maradi",1,14.2525495,6.8101501,281.226624290054,90.3175333809632,47.3
166,200,"Maradi",3,14.4694693107158,6.55845408327878,281.226624290054,81.2266242900541,40.6
169,205.714285714286,"Maradi",7,14.4931645,6.7386487,281.226624290054,75.5123385757684,36.7
171,177.037037037037,"Maradi",15,13.9162463,6.5807057,281.226624290054,104.189587253017,58.9
172,200,"Maradi",1,14.2689402820542,7.13888210244477,281.226624290054,81.2266242900541,40.6
173,220,"Maradi",4,13.9877793565392,6.98487628251314,281.226624290054,61.2266242900541,27.8
174,330,"Maradi",6,14.1646076319739,6.98378244414926,281.226624290054,-48.7733757099459,-14.8
176,333.333333333333,"Maradi",3,14.7423106944188,6.98621411807835,281.226624290054,-52.1067090432792,-15.6
177,220,"Maradi",4,13.9287133,6.8585301,281.226624290054,61.2266242900541,27.8
178,215,"Maradi",1,14.6413908619434,7.47551701962948,281.226624290054,66.2266242900541,30.8
180,366.666666666667,"Maradi",2,13.4371031960472,8.00664704293013,281.226624290054,-85.4400423766125,-23.3
181,200,"Maradi",2,13.4538753,7.9072004,281.226624290054,81.2266242900541,40.6
182,160,"Maradi",1,13.6691014934331,6.99157308787107,281.226624290054,121.226624290054,75.8
183,242.857142857143,"Maradi",7,13.7163429474458,7.07397809252143,281.226624290054,38.3694814329113,15.8
184,350,"Maradi",1,13.6652507632971,6.69542720541358,281.226624290054,-68.7733757099459,-19.6
187,200,"Maradi",5,13.5453233,6.8159345,281.226624290054,81.2266242900541,40.6
188,120,"Maradi",2,13.6483574146405,7.14012916199863,281.226624290054,161.226624290054,134.4
192,158.333333333333,"Maradi",1,13.5069614136592,6.74488621763885,281.226624290054,122.893290956721,77.6
197,346,"Maradi",2,13.0834712,7.0899219,281.226624290054,-64.7733757099459,-18.7
198,298.666666666667,"Maradi",3,13.2203906401992,7.03403656370938,281.226624290054,-17.4400423766126,-5.8
199,160,"Maradi",3,13.1951826,7.2069152,281.226624290054,121.226624290054,75.8
200,200,"Maradi",1,13.3521640487015,6.96080354042351,281.226624290054,81.2266242900541,40.6
201,150,"Maradi",2,13.4466756,7.0885567,281.226624290054,131.226624290054,87.5
202,100,"Maradi",2,13.4375920705497,7.03476537019014,281.226624290054,181.226624290054,181.2
203,350.666666666667,"Maradi",3,14.0432992,7.5789055,281.226624290054,-69.4400423766126,-19.8
204,140,"Maradi",2,14.0541991917416,7.29509982280433,281.226624290054,141.226624290054,100.9
205,180,"Maradi",1,14.0765991,7.7119323,281.226624290054,101.226624290054,56.2
210,229.166666666667,"Maradi",2,13.9455667091534,7.675407724455,281.226624290054,52.0599576233875,22.7
